数据ID|资源名称|资源路径|资源包名称|资源名-用于加载
id_int|resourceName_string|resourcePath_string|abName_string|assetName_string
0|0|0|0|0
0|0|0|0|0
0|0|0|0|0
1|101_idle.anim|Characters/Avatar/101/ani/101_idle|0|0
2|101_roll.anim|Characters/Avatar/101/ani/101_roll|0|0
3|101_run.anim|Characters/Avatar/101/ani/101_run|0|0
4|blade_attack_1.anim|Characters/Avatar/101/ani/blade_attack_1|0|0
5|blade_attack_2.anim|Characters/Avatar/101/ani/blade_attack_2|0|0
6|blade_attack_3.anim|Characters/Avatar/101/ani/blade_attack_3|0|0
7|blade_creat_idle_1.anim|Characters/Avatar/101/ani/blade_creat_idle_1|0|0
8|blade_creat_idle_2.anim|Characters/Avatar/101/ani/blade_creat_idle_2|0|0
9|blade_die.anim|Characters/Avatar/101/ani/blade_die|0|0
10|blade_getup.anim|Characters/Avatar/101/ani/blade_getup|0|0
11|blade_hit.anim|Characters/Avatar/101/ani/blade_hit|0|0
12|blade_hitair.anim|Characters/Avatar/101/ani/blade_hitair|0|0
13|blade_hitground.anim|Characters/Avatar/101/ani/blade_hitground|0|0
14|blade_knockdown.anim|Characters/Avatar/101/ani/blade_knockdown|0|0
15|blade_knockout.anim|Characters/Avatar/101/ani/blade_knockout|0|0
16|blade_powerattack_1.anim|Characters/Avatar/101/ani/blade_powerattack_1|0|0
17|blade_powerattack_2.anim|Characters/Avatar/101/ani/blade_powerattack_2|0|0
18|blade_powerattack_3.anim|Characters/Avatar/101/ani/blade_powerattack_3|0|0
19|blade_powercharge.anim|Characters/Avatar/101/ani/blade_powercharge|0|0
20|blade_powercharge_left.anim|Characters/Avatar/101/ani/blade_powercharge_left|0|0
21|blade_powercharge_loop.anim|Characters/Avatar/101/ani/blade_powercharge_loop|0|0
22|blade_push.anim|Characters/Avatar/101/ani/blade_push|0|0
23|blade_ready.anim|Characters/Avatar/101/ani/blade_ready|0|0
24|blade_run.anim|Characters/Avatar/101/ani/blade_run|0|0
25|blade_rush.anim|Characters/Avatar/101/ani/blade_rush|0|0
26|blade_rushattack.anim|Characters/Avatar/101/ani/blade_rushattack|0|0
27|blade_skill_1.anim|Characters/Avatar/101/ani/blade_skill_1|0|0
28|blade_skill_2.anim|Characters/Avatar/101/ani/blade_skill_2|0|0
29|blade_stun.anim|Characters/Avatar/101/ani/blade_stun|0|0
30|blade_victory.anim|Characters/Avatar/101/ani/blade_victory|0|0
